0x680, Time,74, Relay State 1, 0x10, Relay State 2, 0x41, Failsafe Status 1, 0x0
0x251, Time,2934, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,2954, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,2974, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,2994, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3014, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3137, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3154, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3174, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3194, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3214, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3234, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3254, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3274, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3294, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3314, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3334, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3354, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3374, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3504, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3514, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3534, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3554, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3574, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3594, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3614, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3634, Controller Temp,360, Motor Temp,389, Fault Code,2
0x251, Time,3654, Controller Temp,360, Motor Temp,389, Fault Code,2
